SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Azerbaijan,AZE,Location,Rural,,72.57803057868692,,State Statistical Committee of the Republic of Azerbaijan,2026-07-06
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Azerbaijan,AZE,Location,Urban,,82.12201826795965,,State Statistical Committee of the Republic of Azerbaijan,2026-07-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Azerbaijan,AZE,,,,77.92543591192303,,State Statistical Committee of the Republic of Azerbaijan,2026-07-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Brazil,BRA,Family,No Children,,31.005078348445547,,CETIC.br/NIC.br,2026-07-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Brazil,BRA,,,,31.67850372023395,,CETIC.br/NIC.br,2026-07-04
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Brazil,BRA,Location,No Children,Urban,33.02294923298461,,CETIC.br/NIC.br,2026-07-05
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Brazil,BRA,Location,Children,Rural,16.592395502539688,,CETIC.br/NIC.br,2026-07-06
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Brazil,BRA,Location,Children,Urban,35.37281928123661,,CETIC.br/NIC.br,2026-07-04
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Brazil,BRA,Location,Rural,,14.74809906491385,,CETIC.br/NIC.br,2026-07-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Brazil,BRA,Family,Children,,32.918608443022364,,CETIC.br/NIC.br,2026-07-07
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Brazil,BRA,Location,No Children,Rural,13.480587294366222,,CETIC.br/NIC.br,2026-07-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Brazil,BRA,Location,Urban,,33.833367112439625,,CETIC.br/NIC.br,2026-07-04
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Belarus,BLR,Location,No Children,Rural,47.353828920725114,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Belarus,BLR,Location,Children,Rural,85.97148311719388,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Belarus,BLR,Location,Children,Urban,94.88245601997245,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Belarus,BLR,,,,69.56813132046013,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Belarus,BLR,Location,Rural,,54.91815389004652,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Belarus,BLR,Location,Urban,,74.0979156519235,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Belarus,BLR,Family,Children,,93.07943217473037,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Belarus,BLR,Family,No Children,,62.599317645502616,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Belarus,BLR,Location,No Children,Urban,67.57880368877665,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Costa Rica,CRI,Family,Children,,48.57679327570051,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Costa Rica,CRI,Location,Rural,,29.79416612365365,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Costa Rica,CRI,Location,No Children,Urban,52.19386747407451,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Costa Rica,CRI,Location,No Children,Rural,26.87267461027646,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Costa Rica,CRI,Location,Children,Urban,54.869321717485995,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Costa Rica,CRI,Location,Urban,,52.94820303556207,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Costa Rica,CRI,Location,Children,Rural,35.24597367785029,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Costa Rica,CRI,,,,46.554952166960014,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Costa Rica,CRI,Family,No Children,,45.686651547770516,,Instituto Nacional de Estadisticas y Censos ,2026-06-25
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Spain,ESP,Location,Children,Rural,93.49486930367897,Households with children under 15 include children 15 years of age,Instituto Nacional de Estadistica,2026-06-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Spain,ESP,Location,Urban,,86.58447577004901,,Instituto Nacional de Estadistica,2026-06-05
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Spain,ESP,Location,No Children,Urban,84.00163025256867,,Instituto Nacional de Estadistica,2026-06-05
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Spain,ESP,Location,No Children,Rural,75.5301918739367,,Instituto Nacional de Estadistica,2026-06-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Spain,ESP,Family,No Children,,80.27061295840606,,Instituto Nacional de Estadistica,2026-06-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Spain,ESP,Location,Rural,,80.28054755203611,,Instituto Nacional de Estadistica,2026-06-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Spain,ESP,Family,Children,,94.07301761487858,Households with children under 15 include children 15 years of age,Instituto Nacional de Estadistica,2026-06-05
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Spain,ESP,Location,Children,Urban,94.57936529710118,Households with children under 15 include children 15 years of age,Instituto Nacional de Estadistica,2026-06-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Spain,ESP,,,,83.76581872112054,,Instituto Nacional de Estadistica,2026-06-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Ecuador,ECU,Family,No Children,,28.76238922617757,,Instituto Nacional de Estadistica y Censos,2026-06-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Ecuador,ECU,Location,Rural,,16.16136549174734,,Instituto Nacional de Estadistica y Censos,2026-06-05
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Ecuador,ECU,Location,Children,Urban,45.16168549015171,,Instituto Nacional de Estadistica y Censos,2026-06-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Ecuador,ECU,,,,32.72927114967693,"The information corresponds to, Has this household: desktop/laptop, or, tablet/tablet",Instituto Nacional de Estadistica y Censos,2026-06-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Ecuador,ECU,Location,Urban,,39.61324978337408,,Instituto Nacional de Estadistica y Censos,2026-06-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Ecuador,ECU,Family,Children,,38.56330579673044,,Instituto Nacional de Estadistica y Censos,2026-06-05
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Ecuador,ECU,Location,No Children,Urban,35.66742641488231,,Instituto Nacional de Estadistica y Censos,2026-06-05
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,France,FRA,Location,No Children,Urban,78.13992511585035,,Institut National de la Statistique et des Etudes Economiques,2026-06-02
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,France,FRA,Location,No Children,Rural,76.91854147480034,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,France,FRA,Location,Urban,,80.49292183600141,,Institut National de la Statistique et des Etudes Economiques,2026-07-04
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,France,FRA,,,,80.60566374255329,,Institut National de la Statistique et des Etudes Economiques,2026-06-02
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,France,FRA,Location,Children,Rural,94.67516253651182,,Institut National de la Statistique et des Etudes Economiques,2026-07-06
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,France,FRA,Family,Children,,90.54587474149805,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,France,FRA,Family,No Children,,77.9103436029569,,Institut National de la Statistique et des Etudes Economiques,2026-06-02
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,France,FRA,Location,Children,Urban,89.43507255700881,,Institut National de la Statistique et des Etudes Economiques,2026-07-04
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,France,FRA,Location,Rural,,81.07681881465433,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Croatia,HRV,Location,Urban,,77.7473149894738,,Croatian Bureau of Statistics,2026-06-24
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Croatia,HRV,,,,73.91393954382673,,Croatian Bureau of Statistics,2026-06-24
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Croatia,HRV,Location,Rural,,67.24545263321045,,Croatian Bureau of Statistics,2026-06-24
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Italy,ITA,Location,Rural,,62.49738191757094,,Italian National Institute of Statistics,2026-06-18
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Italy,ITA,Location,Children,Rural,87.57971645401466,,Italian National Institute of Statistics,2026-06-18
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Italy,ITA,Location,No Children,Rural,58.14579643003134,,Italian National Institute of Statistics,2026-06-18
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Italy,ITA,Location,No Children,Urban,66.17416095490883,,Italian National Institute of Statistics,2026-06-18
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Italy,ITA,Location,Children,Urban,84.55570827618841,,Italian National Institute of Statistics,2026-06-18
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Italy,ITA,Family,No Children,,64.77407530133802,,Italian National Institute of Statistics,2026-06-18
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Italy,ITA,Family,Children,,84.98965292208351,,Italian National Institute of Statistics,2026-06-18
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Italy,ITA,,,,68.29420166267002,,Italian National Institute of Statistics,2026-06-18
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Italy,ITA,Location,Urban,,69.47320611165011,,Italian National Institute of Statistics,2026-06-18
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Indonesia,IDN,,,,19.93625092252635,,BPS-Statistics Indonesia,2026-05-27
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Indonesia,IDN,Location,Children,Urban,24.6637412569414,,BPS-Statistics Indonesia,2026-05-27
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Indonesia,IDN,Family,Children,,18.69120691518162,,BPS-Statistics Indonesia,2026-05-27
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Indonesia,IDN,Location,Rural,,10.415746985164942,,BPS-Statistics Indonesia,2026-05-27
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Indonesia,IDN,Location,Urban,,26.494521940280542,,BPS-Statistics Indonesia,2026-05-27
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Indonesia,IDN,Location,No Children,Urban,28.614176461404366,,BPS-Statistics Indonesia,2026-05-27
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Indonesia,IDN,Family,No Children,,21.449359122058738,,BPS-Statistics Indonesia,2026-05-27
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Indonesia,IDN,Location,Children,Rural,10.472852356506474,,BPS-Statistics Indonesia,2026-05-27
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Indonesia,IDN,Location,No Children,Rural,10.34125417578429,,BPS-Statistics Indonesia,2026-05-27
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,,,,78.66313539036331,,Ministry of Science and ICT,2026-05-30
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,Location,Children,Urban,95.73879850177727,,Ministry of Science and ICT,2026-05-30
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,Family,No Children,,76.33444678610375,,Ministry of Science and ICT,2026-05-30
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,Location,Children,Rural,92.78983744456023,,Ministry of Science and ICT,2026-05-30
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,Location,No Children,Urban,78.20952718224929,,Ministry of Science and ICT,2026-05-30
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,Location,Rural,,70.96760349132099,,Ministry of Science and ICT,2026-05-30
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,Location,No Children,Rural,68.52355081554641,,Ministry of Science and ICT,2026-05-30
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,Family,Children,,95.28248891983463,,Ministry of Science and ICT,2026-05-30
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Korea (Rep. of),KOR,Location,Urban,,80.45435031394277,,Ministry of Science and ICT,2026-05-30
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Kuwait,KWT,,,,75.19180179189303,Based on quota sampling,Communication and Information Technology Regulatory Authority,2026-07-06
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Libya,LBY,Family,Children,,88.76811594202898,,General Authority of Telecommunications and Informatics,2026-07-09
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Libya,LBY,,,,90.23263294877981,,General Authority of Telecommunications and Informatics,2026-07-09
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Libya,LBY,Family,No Children,,90.78653043951394,,General Authority of Telecommunications and Informatics,2026-07-09
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Malaysia,MYS,Location,Urban,,95.25685946440406,,,2026-05-19
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Malaysia,MYS,,,,92.56770784502073,,,2026-05-19
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Malaysia,MYS,Location,Rural,,83.57158504925148,,,2026-05-19
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Niger,NER,Location,Children,Rural,2.629507980685352,,Institut National de la Statistique,2026-05-31
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Niger,NER,Family,No Children,,6.123922309069958,,Institut National de la Statistique,2026-05-31
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Niger,NER,Family,Children,,4.890121094202193,,Institut National de la Statistique,2026-05-31
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Niger,NER,Location,Urban,,18.020719922182245,,Institut National de la Statistique,2026-05-31
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Niger,NER,,,,5.041214226845927,,Institut National de la Statistique,2026-05-31
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Niger,NER,Location,No Children,Rural,2.5024283120064195,,Institut National de la Statistique,2026-05-31
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Niger,NER,Location,Children,Urban,17.247367934766437,,Institut National de la Statistique,2026-05-31
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Niger,NER,Location,No Children,Urban,22.83150839730351,,Institut National de la Statistique,2026-05-31
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Niger,NER,Location,Rural,,2.6143264899935548,,Institut National de la Statistique,2026-05-31
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Paraguay,PRY,Location,Children,Rural,17.113303990266466,,Instituto Nacional de Estadística ,2026-06-05
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Paraguay,PRY,Location,No Children,Rural,11.865552825552825,,Instituto Nacional de Estadística ,2026-06-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Paraguay,PRY,Family,No Children,,31.098536491450922,,Instituto Nacional de Estadística ,2026-06-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Paraguay,PRY,Location,Urban,,38.79923002452319,,Instituto Nacional de Estadística ,2026-06-05
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Paraguay,PRY,Location,Children,Urban,39.61145289014063,,Instituto Nacional de Estadística ,2026-06-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,Paraguay,PRY,Family,Children,,32.48626793464497,,Instituto Nacional de Estadística ,2026-06-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Paraguay,PRY,Location,Rural,,14.661730081945837,,Instituto Nacional de Estadística ,2026-06-05
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Paraguay,PRY,Location,No Children,Urban,38.07429185761013,,Instituto Nacional de Estadística ,2026-06-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Paraguay,PRY,,,,31.77771806171637,,Instituto Nacional de Estadística ,2026-06-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Russian Federation,RUS,,,,71.86804693738733,,Federal State Statistics Service of the Russian Federation,2026-05-19
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,Russian Federation,RUS,Location,Rural,,60.24793750689216,,Federal State Statistics Service of the Russian Federation,2026-05-19
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,Russian Federation,RUS,Location,Urban,,75.15541871601097,,Federal State Statistics Service of the Russian Federation,2026-05-19
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,El Salvador,SLV,Family,No Children,,29.617011711097163,,Banco Central de Reserva de El Salvador,2026-06-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2025,El Salvador,SLV,Family,Children,,74.2416801142363,,Banco Central de Reserva de El Salvador,2026-06-05
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,El Salvador,SLV,Location,No Children,Rural,19.036580165696147,,Banco Central de Reserva de El Salvador,2026-06-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,El Salvador,SLV,,,,48.76270186298201,,Banco Central de Reserva de El Salvador,2026-06-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2025,El Salvador,SLV,Location,Urban,,50.37258035655812,,Banco Central de Reserva de El Salvador,2026-06-05
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,El Salvador,SLV,Location,No Children,Urban,34.87925817265578,,Banco Central de Reserva de El Salvador,2026-06-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2025,El Salvador,SLV,Location,Rural,,46.0686549704671,,Banco Central de Reserva de El Salvador,2026-06-05
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,El Salvador,SLV,Location,Children,Rural,73.87009809689926,,Banco Central de Reserva de El Salvador,2026-06-05
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,El Salvador,SLV,Location,Children,Urban,74.52176681276606,,Banco Central de Reserva de El Salvador,2026-06-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2025,Singapore,SGP,,,,86.6459455513894,,Infocomm Media Development Authority ,2026-05-23
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Singapore,SGP,Family,No Children,,82.93920950424021,,Infocomm Media Development Authority ,2026-05-23
